system_key,buyer_country,qty,qty_unit,variant_tier,order_year,status,source,notes
harpoon,台灣,60,枚,AGM-84L-1 Harpoon Block II（空射，F-16搭載）,2022,ordered,https://media.defense.gov/2024/Dec/18/2003615445/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2022-45%20CN.PDF,夥伴國（非條約盟邦）。DSCA 2022-09-02核准，案值3.55億美元，與岸置案分屬不同案號（22-45 vs 20-68）。
harpoon,埃及,20,枚,UGM-84L Harpoon Block II（潛射，Type 209用）,2016,ordered,https://www.dsca.mil/press-media/major-arms-sales/egypt-ugm-84l-harpoon-block-ii-encapsulated-missiles,主要非北約盟友(MNNA)。DSCA 2016-05-13核准，案值約1.43億美元。
harpoon,菲律賓,12,枚,AGM-84L-1 Harpoon Block II（空射）,2021,ordered,https://www.dsca.mil/press-media/major-arms-sales/philippines-agm-84l-1-harpoon-air-launched-block-ii-missiles,美國條約盟邦。DSCA核准，案值約1.2億美元。
himars,克羅埃西亞,8,套,M142,2024,ordered,https://www.overtdefense.com/2024/09/04/us-approves-sale-of-m142-himars-sales-to-croatia/,北約成員；2024年9月DSCA核准8套，約3.9億美元
himars,台灣,111,套,M142,2020/2025,delivering,https://media.defense.gov/2025/Dec/17/2003844312/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2026-01%20CN.PDF,"夥伴國（非條約盟邦）；FMS非美援。分批：11套(2020-10案20-77,4.361億美元,已於2024-11全數交付)+18套(2022-12第二批追加,規劃2027交運，本次未查得獨立DSCA案號)+82套(2025-12案26-01,40.5億美元,規劃2030起交運)，合計111套"
himars,愛沙尼亞,6,套,M142,2022,delivered,https://www.govconwire.com/articles/estonia-orders-6-lockheed-built-himars-launchers-under-200m-deal,北約成員；2022年12月簽約2億美元購入6套，2025年4月六套全數交付抵愛沙尼亞
himars,拉脫維亞,6,套,M142,2023,ordered,https://www.overtdefense.com/2024/01/02/latvia-officially-signs-contract-for-six-himars-launchers/,北約成員；2023年10月DSCA核准(估2.2億美元)，2024年1月正式簽約(約1.798億美元)，規劃2027年起交付
himars,摩洛哥,18,套,M142,2023,ordered,https://www.middleeasteye.net/news/us-morocco-524m-sale-himar-rocket-launchers-approves,主要非北約盟友(MNNA)；2023年4月核准18套/約5.242億美元，含40枚ATACMS、36枚GMLRS
himars,新加坡,18,套,M142,2007,operator,https://www.defenseindustrydaily.com/singapore-requests-himars-rocket-artillery-03807/,夥伴國；2007年核准18套發射器，2010年起交付，2011年編入新加坡陸軍
himars,波蘭,506,套,M142/Homar-A,2019/2023,delivering,https://www.army-technology.com/news/us-fms-himars-poland/,"北約成員；20套(2019-02案,約4.14-6.55億美元,已完成交付)+486套Homar-A(2023-09簽署約100億美元框架合約,波蘭境內組裝,規劃2026起交運)，合計約506套，為抽樣中最大買家"
himars,澳洲,90,套,M142,2022/2023/2025,ordered,https://defencesecurityasia.com/en/us-approves-himars-sale-australia-indo-pacific/,"美國條約盟邦(ANZUS)；20套(2022-05核准)+22套(2023-08核准，合計42套/3.85億美元)+48套(2025年新核准,7.05億美元)，累計約90套"
himars,烏克蘭,40,套,M142,2022/2024,delivered,https://www.congress.gov/crs_external_products/IF/PDF/IF12040/IF12040.34.pdf,美援(非FMS，屬總統撥款權/PDA與USAI)；依國會研究處(CRS)IF12040歷次版本：2023-09底38套、2023-12底39套、2024-05已40+套。不確定：最新版本(2026-07)內文未能直接擷取核對
himars,立陶宛,8,套,M142,2022,delivering,https://www.defensenews.com/pentagon/2022/12/16/lithuania-signs-495-million-deal-to-buy-himars-atacms/,北約成員；2022年11月DSCA核准、12月簽約4.95億美元，含ATACMS，規劃2025-2026年交付
himars,約旦,12,套,M142,2009,operator,http://www.strategypage.com/htmw/htart/20120221.aspx,主要非北約盟友(MNNA)；約2009年核准約12套，2012年起交付。不確定：原始DSCA案號未查得，數字取自二手軍事媒體交叉比對
himars,羅馬尼亞,54,套,M142,2017,ordered,https://media.defense.gov/2024/Dec/09/2003604184/-1/-1/0/ROMANIA_17-36.PDF,北約成員；2017年DSCA核准上限54套/約12.5億美元。不確定：多篇媒體(Warsaw Institute、Defense Daily)顯示實際到貨進度遠低於核准上限，截至2024年僅約2-3套系統交付，「核准量」與「實際契約/到貨量」落差大
himars,阿聯,32,套,M142,2006/2014,operator,https://media.defense.gov/2024/Dec/18/2003615380/-1/-1/0/UAE_14-42.PDF,"夥伴國；20套(2006年核准,2009年起交付)+12套(2014年核准,約25億美元含ATACMS/GMLRS)，合計32套。另悉2024年10月有新一輪ATACMS/GMLRS飛彈案(約12億美元)，惟未涉及新增發射器數量，故未計入"
javelin,台灣,1810,枚,FGM-148E/F(混合批次),2002/2015/2025,delivering,https://media.defense.gov/2025/Dec/17/2003844327/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2026-06%20CN.PDF,"夥伴國（非條約盟邦）；累計三批：360枚(2002年,約3900萬美元)+400枚(2015年核准208枚，2019年修改增至400枚及46套LwCLU)+1050枚(2025-12案26-06,3.75億美元，其中一部分已於2024-07交付，餘規劃2030-09前完成)，合計約1810枚"
javelin,愛沙尼亞,800,枚,FGM-148F,2022,ordered,https://www.govconwire.com/articles/department-of-state-javelin-joint-venture-rtx-lockheed-martin-fms,北約成員；800枚(含8枚驗收彈)+72套LwCLU，約2.96億美元
javelin,摩洛哥,612,枚,FGM-148F,2023,ordered,https://defence-blog.com/sale-of-javelin-missiles-to-morocco-approved/,主要非北約盟友(MNNA)；612枚+200套LwCLU，約2.6億美元
javelin,波蘭,2506,枚,FGM-148F,2024,ordered,https://www.army-technology.com/news/us-javelin-missile-poland/,北約成員；2506枚FGM-148F飛彈+253套輕型指揮發射裝置(LwCLU)，約7.8億美元，為抽樣中最大買家
javelin,澳洲,1308,枚,FGM-148E/F(混合批次),2002/2020/2024,ordered,https://www.defenceconnect.com.au/key-enablers/7118-us-dsca-approves-aussie-javelin-missile-purchase,"美國條約盟邦(ANZUS)；累計：92套CLU+666枚(2002)+200枚(2020,約4600萬美元)+350枚(2024,約1億美元)，飛彈合計約1308枚；另有161套LwCLU(2025年核准,9730萬美元)未列入枚數"
javelin,烏克蘭,10000,枚,FGM-148,2022/2024,delivered,https://www.forbes.com/sites/davidhambling/2024/11/08/re-assessing-saint-javelin-crunching-anti-tank-missile-numbers/,"美援(非FMS)；不確定：各時間點官方/媒體統計口徑不一，開戰首年約8,500+枚，2022年5月已耗用逾三分之一美軍庫存(逾5,000枚)，2024年報導稱累計已逾10,000枚，數字隨新一輪撥款持續變動，僅供量級參考"
javelin,突尼西亞,184,枚,FGM-148F,2024,ordered,https://thedefensepost.com/2024/12/04/us-javelin-sale-tunisia/,主要非北約盟友(MNNA)；184枚+30套LwCLU，約1.077億美元
javelin,立陶宛,341,枚,FGM-148F,2021,ordered,https://www.army-technology.com/news/us-approves-javelin-missiles-sale-to-lithuania/,北約成員；111枚+10套CLU(首案約2800萬美元)+230枚+20套CLU(次案約1.25億美元)，合計341枚
javelin,英國,600,枚,FGM-148F,2023,ordered,https://ukdefencejournal.org.uk/britain-cleared-to-purchase-600-javelin-missiles/,北約成員；最多600枚FGM-148F，約1.2513億美元
m1a2,伊拉克,140,輛,M1A1M(非M1A2變體),2008,delivered,https://www.defenseindustrydaily.com/m1-abrams-tanks-for-iraq-05013/,夥伴國；不確定/口徑警示：伊拉克車隊為M1A1M(基於M1A1-SA的伊拉克專用外銷型)，非本系統(M1A2)變體，列入僅供對照參考，建議排名圖不與M1A2買家直接比較。2008年提出採購140輛M1A1升級為M1A1M配置之請求
m1a2,台灣,108,輛,M1A2T,2019,completed,https://media.defense.gov/2024/Dec/18/2003615454/-1/-1/0/TECRO_19-22.PDF,"夥伴國（非條約盟邦）；2019-07案19-22,20億美元,108輛,已於2026-04全數交付完成(分三批:2024-12/38輛、2025-07/42輛、2026-04/28輛)"
m1a2,埃及,1005,輛,M1A1(非M1A2變體),1988-2010s,operator,https://www.egyptdefenceexpo.com/news/edex-2018-egypt-locally-produced-1200-m1a1-abrams-main-battle-tanks,主要非北約盟友(MNNA)；不確定/口徑警示：埃及車隊為M1A1共同生產型，非本系統(M1A2)變體，列入僅供使用者對照參考，建議排名圖不將此列與M1A2買家直接比較或另以不同底色標示。埃及軍方接收1005輛美埃合作生產之M1A1(不同來源另稱1130-1200輛不等)
m1a2,沙烏地阿拉伯,576,輛,M1A2S,1990s/2016,operator,https://www.globalsecurity.org/wmd/library/news/saudi/saudi-160809-dsca01.htm,"夥伴國；不確定：官方MNNA名單未列沙烏地(儘管雙邊軍事關係密切，常被誤認為MNNA，故標為夥伴國)。既有約423輛M1A2S車隊+2016年再核准最多153輛(轉換用途,約11.5億美元)，合計約576輛"
m1a2,波蘭,250,輛,M1A2 SEPv3,2022,delivering,https://www.defensenews.com/global/europe/2022/04/05/poland-signs-475-billion-abrams-tank-deal-as-russias-war-speeds-procurements/,北約成員；2022-02 DSCA核准(估60億美元)，2022-08簽署FMS生產合約(約11.48億美元/250輛)；波蘭另有先前採購的116輛M1A1(不同批次、非M1A2變體，不計入本列)
m1a2,澳洲,75,輛,M1A2 SEPv3,2021,delivering,https://www.globaldefensecorp.com/2021/05/05/u-s-state-department-approves-75-m1a2-sepv3-abrams-tanks-for-australia/,美國條約盟邦(ANZUS)；取代舊有59輛M1A1，2021-04核准75輛M1A2 SEPv3(約16.85億美元)，2024-12首批交機
m1a2,科威特,218,輛,M1A2/M1A2K,1990s/2016,operator,https://www.forbes.com/sites/pauliddon/2025/06/10/kuwait-upgrading-m1a2-abrams-tanks-long-at-forefront-of-its-defense/,"主要非北約盟友(MNNA)；1990年代購入218輛M1A2，2016年起DSCA案規劃升級為M1A2K(同批218輛升級改良,非新增車輛數量)"
mq9b,加拿大,11,架,MQ-9B SkyGuardian,2023,ordered,https://www.ga-asi.com/government-of-canada-orders-the-mq-9b-skyguardian-rpas-from-ga-asi,北約成員。2023-12-19簽約，案值約19.7億美元（加幣24.9億）。
mq9b,印度,31,架,MQ-9B SkyGuardian（海軍15＋陸軍8＋空軍8）,2024,ordered,https://www.dsca.mil/press-media/major-arms-sales/india-mq-9b-remotely-piloted-aircraft,夥伴國。DSCA 2024-02-01核准，案值約39.9億美元，為目前最大MQ-9B單一買家。
mq9b,台灣,4,架,MQ-9B SeaGuardian,2020,ordered,https://web.archive.org/web/20201103220438/https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-18,夥伴國（非條約盟邦）。DSCA 2020-11-03核准，案值約6億美元；與比利時並列同量（4架）買家。
mq9b,日本,2,架,MQ-9B SeaGuardian（日本海上保安廳）,2024,ordered,https://breakingdefense.com/2024/08/japan-inks-deal-on-2-general-atomics-seaguardian-surveillance-drones/,美國條約盟邦。2024-08-15簽約（商售性質，非傳統FMS案），供日本海上保安廳（非自衛隊）使用；另有3架租賃機（2022年起）未計入本列。
mq9b,比利時,4,架,MQ-9B SkyGuardian,2022,ordered,https://soldiersystems.net/2025/03/27/ga-asi-completes-first-flight-of-belgiums-mq-9b-skyguardian/,北約成員。訂單簽署較早（約2022年），2025年首架試飛；僅媒體來源確認訂單數量，未查得原始合約公告。
mq9b,波蘭,3,架,MQ-9B SkyGuardian／Reaper,2024,ordered,https://breakingdefense.com/2024/12/poland-acquires-general-atomics-mq-9b-skyguardian-in-310m-deal/,北約成員。2024-12簽約，案值約3.1億美元；僅媒體來源，確切機型（Reaper或SkyGuardian衍生）報導不一致，標記不確定。
mq9b,英國,16,架,Protector RG Mk1（MQ-9B衍生型）,2016,ordered,https://www.ga.com/ga-asi-and-uk-mod-exercise-contract-for-additional-13-protector-rpas,北約成員。政府對政府合約非傳統DSCA FMS案；初始3架另加購13架達16架總數，截至查證時已交付10架。
patriot,台灣,330,枚,PAC-3 CRI（2008年案，另有2021年起PAC-3 MSE增購未公開總量）,2008,ordered,https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-2,夥伴國（非條約盟邦）。DSCA 2008年核准4套火力單元＋330枚PAC-3飛彈；媒體常引用「444枚」為不同口徑加總，本次查證未找到官方文件直接證實444此數字，故取330為DSCA原始核准數。2021年起另增購PAC-3 MSE（部分媒體估58枚起，2025-2026將交付「數百枚」但官方未公布精確總數，第4個愛國者營正在籌組中）。不確定：444與330何者為對外溝通口徑、MSE總量官方數字。
patriot,德國,600,枚,PAC-3 MSE（含10枚試射彈）,2024,ordered,https://www.dsca.mil/press-media/major-arms-sales/germany-patriot-advanced-capability-3-missile-segment-enhanced,北約成員。DSCA 2024-08-15核准，案值約50億美元；此dsca.mil頁面自動化擷取回傳403，內容以Janes、Defence Industry Europe等媒體交叉確認。
patriot,沙烏地阿拉伯,730,枚,PAC-3 MSE,2026,ordered,https://media.defense.gov/2026/Jan/30/2003868787/-1/-1/0/PRESS%20RELEASE%20-%20SAUDI%20ARABIA%2026-13%20CN.PDF,主要非北約盟友(MNNA，2025-11-18由川普政府新指定為第20個MNNA)。DSCA 2026-01-30核准，案值約90億美元，為近年最大單一PAC-3 MSE訂單。
patriot,波蘭,644,枚,PAC-3 MSE,2023,ordered,https://www.globalsecurity.org/military/library/news/2023/06/mil-230628-dsca01.htm,北約成員。DSCA 2023-06-28核准（同案含48套M903發射器、12套LTAMDS雷達、48套發射介面套件），2023-09正式簽約，案值約150億美元整合案。
patriot,羅馬尼亞,224,枚,PAC-3 MSE 168枚＋PAC-2 GEM-T 56枚,2017,ordered,https://www.globalsecurity.org/space/library/news/2017/space-170711-dsca01.htm,北約成員。DSCA 2017-07-10核准7套愛國者Configuration-3+火力單元，案值約39億美元；羅馬尼亞2020年另有第二筆採購但本次未查得官方數量，故不計入本列。
patriot,阿聯,60,枚,PAC-3（60枚）＋PAC-2 GEM-T（100枚）,2017,ordered,https://www.dsca.mil/press-media/major-arms-sales/government-united-arab-emirates-uae-patriot-pac-3-and-gem-t-missiles,夥伴國（非MNNA、非NATO、非條約盟邦）。DSCA 2017-05-11核准。
stinger,台灣,500,枚,FIM-92F,2015/2019,delivering,https://media.defense.gov/2024/Dec/18/2003615453/-1/-1/0/TECRO_19-21.PDF,"夥伴國（非條約盟邦）；海軍250枚(2015年核准,約2.17億美元)+陸軍250枚(2019-07案19-21,2.2356億美元)，合計500枚；首批已於2023-05抵桃園機場，因俄烏戰爭排擠美方產能，媒體報導餘量交付延至2026年後、估分批至2031年。不確定：2024年媒體報導陸軍另編列預算擬採購約1,985枚並評估國家中山科學研究院在地組裝，惟未查得對應DSCA案號，故未計入本列qty"
stinger,埃及,720,枚,FIM-92,2024,ordered,https://militaryleak.com/2024/10/04/us-state-department-approves-720-fim-92-stinger-missiles-sale-to-egyptian-armed-forces/,主要非北約盟友(MNNA)；720枚，約7.4億美元
stinger,德國/義大利/荷蘭(NSPA聯合採購),940,枚,FIM-92K Block I,2024,ordered,https://euro-sd.com/2024/01/major-news/35753/state-dpt-approves-nspa-fim-92/,北約成員；三國透過北約後勤支援署(NSPA)聯合採購940枚FIM-92K，約7.8億美元，本列為三國合計而非單一國家數字，圖表呈現時建議另註記
stinger,摩洛哥,600,枚,FIM-92K Block I,2024,ordered,https://www.army-technology.com/news/us-stinger-missiles-morocco/,主要非北約盟友(MNNA)；最多600枚，約8.25億美元
stinger,烏克蘭,3000,枚,FIM-92,2022/2025,delivered,https://www.stimson.org/2022/u-s-security-assistance-to-ukraine-breaks-all-precedents/,"美援(非FMS)；不確定：依美國國防部/國務院歷次事實清單，2022-08逾1,400枚、2022-12逾1,600枚、2023-07逾2,000枚、2025年初報導稱已逾3,000枚，各時間點口徑略有差異，僅供量級參考"
