case_id,announce_date,system_zh,system_en,category,value_usd_m,qty,qty_unit,delivery_status,first_delivery,expected_complete,delivered_note,source_announce,source_delivery,notes
20-74,2020-11-03,MQ-9B海上衛士/空中衛士無人機,MQ-9B Remotely Piloted Aircraft and Related Equipment,uas,600,4,架,delivering,2026-03,2027,"首2架已於2026-03交運抵台並展開組裝測試,餘2架預定2027年交付",https://web.archive.org/web/20201103220438/https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-18,https://news.usni.org/2026/03/23/taiwan-receives-first-u-s-mq-9-skyguardian-drones,；2026-07-24嘗試以web.archive.org尋找官方公告頁快照修復來源，但本次工作階段的工具權限無法讀取web.archive.org內容（WebFetch直接拒絕該網域、瀏覽器讀取工具需要本階段無法取得的逐次核准），故source_announce維持原值，Wayback修復待後續session完成；DSCA 原頁已下架，引用網路檔案館快照（標題含系統名，2026-07-24 主對話逐頁核對）
20-87,2020-12-07,野戰資訊通信系統,Field Information Communications System (FICS),c4isr,280,,,delivering,2025-Q4,,"2022年簽約定案(約NT$69.9億);2025-05完成美方測考,原訂2025年Q4首批交付,查證時未見到貨證實報導",https://web.archive.org/web/20201207215106/https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-19,https://www.taipeitimes.com/News/taiwan/archives/2025/05/08/2003836523,"此URL為DSCA編號序列推定,未能直接以WebFetch讀取dsca.mil原文(403);與Wikipedia彙整表所列URL一致；2026-07-24嘗試以web.archive.org尋找官方公告頁快照修復來源，但本次工作階段的工具權限無法讀取web.archive.org內容（WebFetch直接拒絕該網域、瀏覽器讀取工具需要本階段無法取得的逐次核准），故source_announce維持原值，Wayback修復待後續session完成；DSCA 原頁已下架，引用網路檔案館快照（標題含系統名，2026-07-24 主對話逐頁核對）；延宕理由未見官方明確說明；僅知2025-05完成美方測考後，原訂2025年Q4交付之首批截至查證時(2026-07-24)仍未見到貨報導，是否與台灣特別預算審議延宕有關尚無官方直接證實"
21-44,2021-08-04,M109A6帕拉丁155公厘自走砲系統,M109A6 Paladin 155mm Self-Propelled Howitzer System,ground,750,40,輛,cancelled,,,美方稱受美國國內產能排擠影響最快2026年後才能交運；台灣陸軍於2022-05-29確認本案結案，未交付任何裝備，預算改編列增購18套HIMARS（轟雷專案第二階段）。delivery_status枚舉無「已取消」選項，故以unknown表示「未曾交付且案件已終止」。,https://web.archive.org/web/20210804212203/https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-20,https://udn.com/news/story/10930/6348635,拜登政府上任後首筆對台軍售；亦見中央社2022-05-02報導美方通知延遲 https://www.cna.com.tw/news/aipl/202205020151.aspx；2026-07-24嘗試以web.archive.org尋找官方公告頁快照修復來源，但本次工作階段的工具權限無法讀取web.archive.org內容（WebFetch直接拒絕該網域、瀏覽器讀取工具需要本階段無法取得的逐次核准），故source_announce維持原值，Wayback修復待後續session完成；DSCA 原頁已下架，引用網路檔案館快照（標題含系統名，2026-07-24 主對話逐頁核對）；延宕理由：美國國防部/國務院通知，因俄烏戰爭排擠美國自走砲生產產能、優先順序調整，最快2026年後方能交付，故台灣決定終止本案改採購HIMARS等替代裝備（來源：https://www.taiwannews.com.tw/news/4525635；https://www.rfa.org/english/news/china/us-taiwan-05022022094829.html）
21-66,2022-02-07,愛國者系統國際工程勤務暨野戰監測計畫（IESP/FSP）支援,Patriot International Engineering Services Program (IESP) and Field Surveillance Program (FSP) Support,sustainment,100,,,unknown,,,五年期工程勤務／飛彈野戰監測服務合約（含GEM、PAC-3飛彈庫存可靠度測試），非硬體交運案，查無公開的具體執行進度報導，故delivery_status以unknown處理。,https://web.archive.org/web/20220207221421/https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-21,,transmittal編號雖為21-66但公告日期在2022年（DSCA編號序列非依日曆年重置）。；2026-07-24嘗試以web.archive.org尋找官方公告頁快照修復來源，但本次工作階段的工具權限無法讀取web.archive.org內容（WebFetch直接拒絕該網域、瀏覽器讀取工具需要本階段無法取得的逐次核准），故source_announce維持原值，Wayback修復待後續session完成；DSCA 原頁已下架，引用網路檔案館快照（標題含系統名，2026-07-24 主對話逐頁核對）
22-16,2022-04-05,愛國者防空系統承包商技術協助（含地面支援裝備）,Patriot Air Defense System Contractor Technical Assistance,sustainment,95,,,unknown,,,承包商技術協助（訓練、規劃、部署、操作、維保）性質之服務合約，非單一批次交運，查無具體完成報導。,https://media.defense.gov/2024/Dec/18/2003615449/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2022-16%20CN.PDF,,dsca.mil原始頁面slug未能定位，改用globalsecurity.org之DSCA新聞稿轉載頁；主承包商為Raytheon（Andover MA）。；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符
22-22,2022-06-08,艦艇零附件與艦載系統零附件,Ship Spare Parts and Ship System Spare Parts,sustainment,120,,,unknown,,,後勤零附件供應案，屬持續性補給非單一交運事件，查無具體完成報導。,https://media.defense.gov/2024/Dec/18/2003615450/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2022-22%20CN.PDF,,；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符
22-31,2022-07-15,戰車暨戰鬥車輛零附件與承包商技術協助,Tanks and Combat Vehicles Spare and Repair Parts – Contractor Technical Assistance,sustainment,108,,,unknown,,,不分類之零附件與組裝件、後勤技術協助案，查無具體完成報導。,https://media.defense.gov/2024/Dec/18/2003615492/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2022-31%20CN.PDF,,source_announce為US-Taiwan Business Council網站託管之國會通知(CN)原文副本，非dsca.mil直接連結（搜尋未能定位對應dsca.mil頁面slug），內容應與官方公告一致；亦可參考中央社轉載 https://www.globalsecurity.org/wmd/library/news/taiwan/2022/taiwan-220716-cna01.htm；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符
22-44,2022-09-02,「鋪路爪」預警雷達系統（SRP）後勤支援延續合約,Surveillance Radar Program (SRP) Contract Logistics Support,sustainment,665.4,,,unknown,,,既有AN/FPS-115 PAVE PAWS預警雷達（樂山雷達站）之後續承包商後勤支援延續案，非新增雷達硬體，故歸類sustainment而非c4isr；查無具體完成報導。,https://media.defense.gov/2024/Dec/18/2003615493/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2022-44%20CN.PDF,,與同日公告之Harpoon(22-45)、Sidewinder(22-46)合計US$1.106B，媒體常合併報導為「9月對台軍售包」。；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符
22-45,2022-09-02,AGM-84L-1魚叉Block II空射反艦飛彈（含4枚演訓飛彈）,AGM-84L-1 Harpoon Block II Missiles (air-launched / F-16-compatible),missile,355,60,枚,unknown,,,本案為F-16搭載之「空射型」AGM-84L-1，與2020年公告之陸射型RGM-84L-4岸置防衛系統（不同案號、不同飛彈型號）為不同案件，查無空射型60枚飛彈之公開交付進度報導，勿與陸射型2024年起交運之報導混淆。,https://media.defense.gov/2024/Dec/18/2003615445/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2022-45%20CN.PDF,,
22-46,2022-09-02,AIM-9X Block II響尾蛇短程空對空戰術飛彈,AIM-9X Block II Sidewinder Tactical Missiles,missile,85.6,100,枚,delivering,,2030,國防部於2023-01-11公告簽約（NT$23.94億／約US$78.6M執行合約金額），採分批交運，預估2030年底前全數抵台，部署台東基地。,https://media.defense.gov/2024/Dec/18/2003615446/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2022-46%20CN.PDF,https://www.cna.com.tw/news/aipl/202301110135.aspx,
22-55,2022-12-06,F-16／C-130／IDF飛機標準零附件（後勤供應合作協議CLSSA擴充）,Aircraft Standard Spare Parts – CLSSA Expansion (F-16/C-130/IDF and other U.S.-origin aircraft),sustainment,330,,,unknown,,,庫存補充式後勤供應協議擴充案，屬持續性供應非單一交運事件，查無具體完成報導。,https://media.defense.gov/2024/Dec/18/2003615447/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2022-55%20CN.PDF,,與22-56同日公告，媒體常合併報導為「12月4.28億美元航空器零附件案」。；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符
22-56,2022-12-06,F-16／C-130／IDF飛機非標準零附件（後勤供應合作協議CLSSA擴充）,Aircraft Non-Standard Spare and Repair Parts – CLSSA Expansion (F-16/C-130/IDF and other U.S.-origin aircraft),sustainment,98,,,unknown,,,同上，庫存補充式後勤供應協議擴充案，查無具體完成報導。,https://media.defense.gov/2024/Dec/18/2003615448/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2022-56%20CN.PDF,,與22-55同日公告，兩者常被媒體合計為US$428M。；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符
22-70,2022-12-28,火山（車載式）反裝甲布雷系統,Volcano (Vehicle-Launched) Anti-Tank Munition Laying System,ground,180,14,套,delivering,,2026,2023-06-21台美簽署執行合約（NT$45.4億／約US$146M，14套）；原規劃7套2023年、7套2025年交運，其後多次延遲，最新規劃為14套全數於2026年交運完畢。,https://media.defense.gov/2024/Dec/18/2003615485/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2022-70%20CN_0.PDF,https://def.ltn.com.tw/article/breakingnews/4806574,dsca.mil原始頁面slug未能確認定位，改用globalsecurity.org之DSCA新聞稿轉載頁；亦含M977A4 HEMTT卡車、M87A1/M88/M89訓練彈藥等配套裝備。；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符；延宕理由：國防部官員向媒體表示為「美方作業延遲及其他因素」所致，未提供具體技術原因（來源：https://www.taiwannews.com.tw/news/5940023）
23-09,2023-03-01,F-16戰機用彈藥（HARM／AMRAAM）,F-16 Munitions (AGM-88B HARM / AIM-120C-8 AMRAAM),missile,619,,,announced,,,,https://media.defense.gov/2024/Dec/18/2003615486/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2023-09%20CN.PDF,,品項含100枚AGM-88B HARM、23枚HARM訓練彈、200枚AIM-120C-8 AMRAAM、4組導引段、26套LAU-129發射器；qty欄涉多品項故留空；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符
23-38,2023-06-29,輪型車輛暨武器後勤補給包(CLSSA FMSO II),Blanket Order CLSSA FMSO II — Supply Support for Wheeled Vehicles and Other Weapons,sustainment,108,,,announced,,,,https://media.defense.gov/2024/Dec/18/2003615487/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2023-38%20CN.PDF,,sustainment類後勤支援包，無明確主裝備數量
23-44,2023-06-29,CM34甲車用30mm彈藥,30mm Ammunition for CM34 Armored Vehicles,sustainment,332.2,,,announced,,,,https://media.defense.gov/2024/Dec/18/2003615488/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2023-44%20CN.PDF,,含30mm高爆燃燒曳光彈、多用途彈、訓練彈；媒體報導2024年初已在台建立聯匹（Northrop Grumman）在地共同生產；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符
23-25,2023-08-23,F-16紅外線搜索追蹤系統(IRST),F-16 Infrared Search and Track (IRST) / AN/ASG-34,aircraft,500,,,announced,,,,https://media.defense.gov/2024/Dec/18/2003615479/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2023-25%20CN.PDF,,主承包商Lockheed Martin；qty未於公告明確列出故留空；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符
23-82,2023-12-15,C4指管通情系統壽期後勤支援(訊安計畫),Command Control Communications and Computers (C4) Life Cycle Support (Syun An program),c4isr,300,,,announced,,,,https://media.defense.gov/2024/Dec/18/2003615489/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2023-82%20CN.PDF,,涵蓋既有MIDS-LVT／JTIDS裝備之備份零件與後勤支援；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符
24-09,2024-02-21,先進戰術數據鏈系統升級規劃(Link-16相關),Taiwan Advanced Tactical Data Link System Upgrade Planning,c4isr,75,,,announced,,,,https://media.defense.gov/2024/Dec/18/2003615490/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-09%20CN.PDF,,內容為跨域解決方案(CDS)、高保證裝置、GPS接收器等規劃案，非硬體採購
24-41,2024-06-05,F-16非標準備份零件,F-16 Non-Standard Spare and Repair Parts,sustainment,80,,,announced,,,,https://media.defense.gov/2024/Dec/18/2003615480/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-41%20CN.PDF,,與24-42為同日公告之姊妹案；2026-07-24查證：source_announce改為官方PDF(media.defense.gov)，已開檔核對Transmittal編號與案號相符
24-42,2024-06-05,F-16標準備份零件,F-16 Standard Spare and Repair Parts,sustainment,220,,,announced,,,,https://media.defense.gov/2024/Dec/18/2003615481/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-42%20CN.PDF,,；[待驗證] DSCA檔案庫另有疑似官方PDF連結 https://media.defense.gov/2024/Dec/18/2003615481/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-42%20CN.PDF （檔名自報案號與本案相符，但2026-07-24因下載權限限制未及開檔逐字核對內容），暫未替換source_announce，建議後續驗證後再更新；URL 取自 DSCA 官方檔案庫列表（2026-07-24），自動化內文驗證遭阻擋，一般瀏覽器可開啟
24-47,2024-06-18,彈簧刀(Switchblade)300游蕩彈藥系統,Switchblade 300 Anti-Personnel and Anti-Armor Loitering Missile System,uas,60.2,720,枚,announced,,,,https://media.defense.gov/2024/Dec/18/2003615482/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-47%20CN.PDF,,含720枚Switchblade 300全備彈、101套射控系統；與24-56同日公告；[待驗證] DSCA檔案庫另有疑似官方PDF連結 https://media.defense.gov/2024/Dec/18/2003615482/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-47%20CN.PDF （檔名自報案號與本案相符，但2026-07-24因下載權限限制未及開檔逐字核對內容），暫未替換source_announce，建議後續驗證後再更新；URL 取自 DSCA 官方檔案庫列表（2026-07-24），自動化內文驗證遭阻擋，一般瀏覽器可開啟
24-56,2024-06-18,ALTIUS 600M-V無人機系統,ALTIUS 600M-V Unmanned Aerial Vehicles,uas,300,291,套,completed,,,2026-03 全數交付完成（TSM 2026-03 backlog 報告）,https://media.defense.gov/2024/Dec/18/2003615476/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-56%20CN.PDF,https://tsm.schar.gmu.edu/taiwan-arms-sale-backlog-march-2026-update-abrams-and-altius-delivered-but-further-delays-emerge/,含最多291套ALTIUS 600M-V（游蕩彈藥型含EO/IR鏡頭）及訓練彈、發射系統
24-81,2024-09-16,航空器備份零件歸還維修轉運,Return Repair and Reshipment of Spare Parts,sustainment,228,,,announced,,,,https://media.defense.gov/2024/Dec/18/2003615478/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-81%20CN.PDF,,涵蓋機密與非機密航空器備份零件之維修轉運服務；[待驗證] DSCA檔案庫另有疑似官方PDF連結 https://media.defense.gov/2024/Dec/18/2003615478/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-81%20CN.PDF （檔名自報案號與本案相符，但2026-07-24因下載權限限制未及開檔逐字核對內容），暫未替換source_announce，建議後續驗證後再更新；URL 取自 DSCA 官方檔案庫列表（2026-07-24），自動化內文驗證遭阻擋，一般瀏覽器可開啟
24-48,2024-10-25,NASAMS中程防空系統,National Advanced Surface-to-Air Missile System (NASAMS),missile,1160,3,套,announced,,,,https://media.defense.gov/2024/Dec/18/2003615483/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-48%20CN.PDF,,3套NASAMS含3部AN/MPQ-64F1哨兵雷達、123枚AMRAAM-ER增程型飛彈、2組導引段、4套MIDS
24-57,2024-10-25,AN/TPS-77與AN/TPS-78雷達系統(交鑰匙),AN/TPS-77 and AN/TPS-78 Radar Turnkey Systems,c4isr,828,,,announced,,,,https://media.defense.gov/2024/Dec/18/2003615477/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-57%20CN.PDF,,交鑰匙型中長程對空監視雷達系統，數量未於公告明確列出
24-103,2024-11-29,F-16機用備份零件暨AESA主動相位陣列雷達支援,Spare Parts and Support for F-16 Aircraft and Active Electronically Scanned Array Radars,sustainment,320,,,announced,,,,https://media.defense.gov/2024/Dec/18/2003615491/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-103%20CN.PDF,,媒體報導預估2025年起開始交貨；[待驗證] DSCA檔案庫另有疑似官方PDF連結 https://media.defense.gov/2024/Dec/18/2003615491/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-103%20CN.PDF （檔名自報案號與本案相符，但2026-07-24因下載權限限制未及開檔逐字核對內容），暫未替換source_announce，建議後續驗證後再更新；URL 取自 DSCA 官方檔案庫列表（2026-07-24），自動化內文驗證遭阻擋，一般瀏覽器可開啟
24-112,2024-11-29,改良式行動用戶裝備(IMSE/EXFOR)後續支援,Improved Mobile Subscriber Equipment (IMSE) / EXFOR Follow-On Support,sustainment,65,,,announced,,,,https://media.defense.gov/2024/Dec/18/2003615484/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-112%20CN.PDF,,延續原41.6M美元案之後續2年支援服務；主承包商General Dynamics Mission Systems；[待驗證] DSCA檔案庫另有疑似官方PDF連結 https://media.defense.gov/2024/Dec/18/2003615484/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-112%20CN.PDF （檔名自報案號與本案相符，但2026-07-24因下載權限限制未及開檔逐字核對內容），暫未替換source_announce，建議後續驗證後再更新；URL 取自 DSCA 官方檔案庫列表（2026-07-24），自動化內文驗證遭阻擋，一般瀏覽器可開啟
25-01,2024-12-20,MK75 76mm艦砲砲座,MK 75 76mm Gun Mounts,naval,30,16,座,announced,,,,https://media.defense.gov/2024/Dec/30/2003619580/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2025-01%20CN.PDF,,16座；含翻修備便技術協助；DSCA案號跨入FY25序號但公告日為2024-12-20
25-04,2024-12-20,C4現代化(MIDS JTRS Link-16升級),Command Control Communications and Computers Modernization (MIDS JTRS V5),c4isr,265,309,套,announced,,,,https://media.defense.gov/2024/Dec/30/2003619607/-1/-1/1/PRESS%20RELEASE%20-%20TECRO%2025-04%20CN%20-%20V2.PDF,,309套MIDS JTRS Variant 5，供Patriot/HE-2K/P-3/F-16 Block 20平台整合；DSCA案號跨入FY25序號但公告日為2024-12-20
25-73,2025-11-13,非制式備份零附件(F-16/C-130/IDF),"Non-Standard Spare and Repair Parts (for F-16, C-130, and IDF aircraft)",sustainment,330,,,announced,,,尚無交付時程資訊,https://media.defense.gov/2025/Nov/13/2003820206/-1/-1/1/PRESS%20RELEASE%20-%20TECRO%2025-73%20CN.PDF,,川普政府任內首次對台軍售公告；軍品由美國政府庫存撥交，供F-16、C-130與IDF經國號機隊使用
